address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x3de3aee7860cdac45b499418398cd4bcf1f9952148868b8a6d43ba7729a0bbb5', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326']",0x00000000000000000000000000000000000000000000000023ce0054a0820000,0xf1d89a,0x05c49793dc8674ccdc3270bdfc03837dc7a820b528c481efed04c39dca941ce0,0x635c5b6b,0x429330d2d,0x224ba,0x186,0x3c8f32256f377f202223ecf108f0efa43c22d1a3716687ebd29dba6eefc5c2b3,0xa1
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0xbdf2ad452fb5e7123ebc3e977452088bc6ac9aa4c6b807fa043bb65f7dd62810', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x0000000000000000000000002e1ee9a92fbec075479df59c105289b01b9b7fa9']",0x00000000000000000000000000000000000000000000000000005a8745bc0dedecd42cc6bec194ee7b87d40cd3b6a834bee53ea6bcadfd25a157c61bc5599ecf,0xf1d8e8,0x08ffd2e8f0ddc4b8671848e4e3bc183d252a95bc5e1a0bad9081f0f05d1bc599,0x635c5f13,0x30917dfb6,0x1ca98,0xc7,0x5386d4fd2f622cfb01157894cbd2818e785c3f77b59f70ad544b50bc6f166be8,0x6b
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x3de3aee7860cdac45b499418398cd4bcf1f9952148868b8a6d43ba7729a0bbb5', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326']",0x0000000000000000000000000000000000000000000000009744943fd3c20000,0xf1d902,0xd895d41342c3c4a512f7437acc1fb77ad5c00251d72acbca9268cc9f8eb43df5,0x635c604b,0x35b113b43,0x19f46,0x45,0x7ec82236f30f9ee2acf19db5c682442983da25d2d50e28a474e411efdca7f84b,0x20
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0xbdf2ad452fb5e7123ebc3e977452088bc6ac9aa4c6b807fa043bb65f7dd62810', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x0000000000000000000000000f294726a2e3817529254f81e0c195b6cd0c834f']",0x00000000000000000000000000000000000000000000000000011fb9d7aefe9e8231269359e94682231392f74b0202335a5844cc52b49e5baa957a3c40a4ee73,0xf1d91d,0xce5424c7125eb47d08ede0ff91d901b8c9450202d9ae4608fe750fc597e434d4,0x635c618f,0x25307847d,0x2137f,0x123,0xd9766afcc9438118239e7540b2b4c678d87a51c8256a7f7ecbfbc4065911b439,0x94
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0xbdf2ad452fb5e7123ebc3e977452088bc6ac9aa4c6b807fa043bb65f7dd62810', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x00000000000000000000000051200aa490f8df9ebdc9671cf8c8f8a12c089fda']",0x00000000000000000000000000000000000000000000000000005ebd312a02ab06a5ac68b34d2f3cacca8b43256eaa9c6dfa2070ba0cb764f1292f0a50f38cdf,0xf1d91d,0xce5424c7125eb47d08ede0ff91d901b8c9450202d9ae4608fe750fc597e434d4,0x635c618f,0x25307847d,0x2137f,0x124,0xd9766afcc9438118239e7540b2b4c678d87a51c8256a7f7ecbfbc4065911b439,0x94
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x00000000000000000000000051200aa490f8df9ebdc9671cf8c8f8a12c089fda']",0x00000000000000000000000000000000000000000000000000005ebd312a02ab06a5ac68b34d2f3cacca8b43256eaa9c6dfa2070ba0cb764f1292f0a50f38cdf0000000000000000000000000000000000000000000000000bd15b94fc8b32a5,0xf2e1b0,0x61d1393c73f158d3f1bb3a23d4432b841f3fd94eeccdae6f87e138b8db984b54,0x6368daeb,0x2d14c90d5,0xf47a,0x3f,0x45e7e15cf684fe96bfdafa129dc1c0b84db8b1957cd2a41ad346eff23a21d265,0x29
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x00000000000000000000000051200aa490f8df9ebdc9671cf8c8f8a12c089fda']",0x00000000000000000000000000000000000000000000000000005ebd312a02ab06a5ac68b34d2f3cacca8b43256eaa9c6dfa2070ba0cb764f1292f0a50f38cdf000000000000000000000000000000000000000000000000020768201a2981d3,0xf30f28,0x72f996365eafb3f95da0bc4c8a11422122262d096d6befbdce629824782689e6,0x636aff2b,0x49a4a2ed1,0x13746,0xf,0x4a3ec20965134ee144d0b11cddb0f005914d23b6e2251489cd733bf9ce8f9ea6,0x7
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x0000000000000000000000000f294726a2e3817529254f81e0c195b6cd0c834f']",0x00000000000000000000000000000000000000000000000000011fb9d7aefe9e8231269359e94682231392f74b0202335a5844cc52b49e5baa957a3c40a4ee73000000000000000000000000000000000000000000000000312ae2e2505481e2,0xf3438e,0x2d418909e3590a1124ebe765bf6937a87685e8c4312123f21faa874e6b8d64b5,0x636d782b,0x5aa60ef0d,0x13752,0x1cc,0x843ac24ff3e0ceb70f9f759a08d1dc9c847f042669791fe94767200afa4f3f2f,0xf5
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x00000000000000000000000051200aa490f8df9ebdc9671cf8c8f8a12c089fda']",0x00000000000000000000000000000000000000000000000000005ebd312a02ab06a5ac68b34d2f3cacca8b43256eaa9c6dfa2070ba0cb764f1292f0a50f38cdf00000000000000000000000000000000000000000000000003501f1f680152fb,0xf35943,0x34bc3d0f81d756136a6abd14de7358374bbda702b3e5f929157398f5f54e7362,0x636e7e63,0x78093f618,0x13746,0x44,0xc38d5c63568c50038a6b8713386b709c661f96ac4432f902b28099d52b7c74dd,0x32
0xb70b0fee3c7752ec5ea6b2debc6bc1340d3e22dd,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x000000000000000000000000a9d93a5cca9c98512c8c56547866b1db09090326', '0x00000000000000000000000051200aa490f8df9ebdc9671cf8c8f8a12c089fda']",0x00000000000000000000000000000000000000000000000000005ebd312a02ab06a5ac68b34d2f3cacca8b43256eaa9c6dfa2070ba0cb764f1292f0a50f38cdf000000000000000000000000000000000000000000000000051d0ab1098d6c9b,0xf3cbd6,0x2a8375dcaa4dbe2a1e9ee257849697b561470a24ffe1c75751fecda385009418,0x6373e41f,0x7076acf7c,0x13746,0xa4,0xa071debf6bbd4eb0e73181f85edf1b97f5c31e8c325b304d9f0945151c1c104e,0x3a
